user_screen_name,created_at,text,Country,State,created_month,discourage,topic,topic_id,final_stance,stance_cumulative_sum,topic_frequency
U_amptcGxzbW4=,2020-01-22 19:46:59+00:00,"RT @igorvolsky: TO: @netflix, Columbia Studio, @SonyPictures, @20thcentury, @searchlightpics, @UniversalPics, and @Warnerbros

Survivors ar…",United States,Minnesota,January 2020,True,1175_sykesif_chicago_chicagos_deliberate,1175,U,4.0,1
U_S2FyZW5TYWxpdGlz,2020-01-23 01:02:27+00:00,"RT @Monaheart1229: Trump has said the Chinese coronavirus is 'totally under control'
America, PLEASE do not take medical advice from Donald…",United States,Pennsylvania,January 2020,True,476_rebuilding_chelseas_crazyhe_newspresident,476,F,5.0,1
U_ZmFtaWx5ZGlzYXN0ZXI=,2020-01-23 07:38:46+00:00,"RT @newsography1: 1/21 World News Update:

💣New Islamic State group leader confirmed

🇾🇪Epidemic warning as 78 children die of dengue-relat…",United States,South Dakota,January 2020,True,-1_them_they_our_you,-1,U,3.0,109
U_TWF0dE11cnBoMjQ=,2020-01-23 17:55:58+00:00,This Coronavirus outbreak is getting really scary.,United States,Virginia,January 2020,True,-1_them_they_our_you,-1,U,2.0,109
U_SXNyYWVsTmV3c0xpbmtz,2020-01-23 18:33:27+00:00,RT @JackPosobiec: BREAKING: Scale of China’s Wuhan Shutdown Is Believed to Be Without Precedent  https://t.co/L868uOYBY4,United States,USA,January 2020,True,-1_them_they_our_you,-1,U,3.0,109
U_VGhlQXJ0aWNsZVRydW5r,2020-01-23 18:37:50+00:00,China allocates one billion yuan to Hubei province to fight virus outbreak https://t.co/0rBJ1cJw67,United States,New York,January 2020,True,-1_them_they_our_you,-1,U,0.0,109
U_RGVzaUN1YmFu,2020-01-23 19:25:45+00:00,RT @almberg70: China Locks Down 3 Cities at Epicenter of Virus Outbreak https://t.co/0W0ggeaNnn,United States,Florida,January 2020,True,1927_locks_huanggang_sayvirus_eafp,1927,U,1.0,3
U_Q05CQw==,2020-01-23 20:17:26+00:00,"US suicide rates rise 40% over 17 years with blue collar workers at highest risk, CDC finds https://t.co/pwzI8T0xOv",United States,New Jersey,January 2020,True,229_suicide_suicides_suicidal_collar,229,U,4.0,1
U_TGl6U3phYm8=,2020-01-23 20:17:50+00:00,Can Airport Screening Help Stop The Spread Of Wuhan Coronavirus? https://t.co/u8aiKPRgtw,United States,District of Columbia,January 2020,True,730_airposcreening_scifriday_tryingim_moonship,730,U,2.0,1
U_ZGF2aWRwc2RlbQ==,2020-01-23 21:37:23+00:00,"RT @KamalaHarris: As we’ve seen just this week from Kansas City to Seattle, too many communities are grieving in the aftermath of gun viole…",United States,California,January 2020,True,3420_viole_aftermath_grieving_kansas,3420,F,7.0,1
