user_screen_name,created_at,text,Country,State,created_month,discourage,topic,topic_id,final_stance,stance_cumulative_sum,topic_frequency
U_bmptaWtlNzMx,2020-01-22 11:26:41+00:00,RT @WHO: The International Health Regulations Emergency Committee on the new #coronavirus (2019-nCoV) convened by @DrTedros is currently on…,United States,New Jersey,January 2020,False,1430_committee_regulations_2019ncov_awp,1430,F,6.0,1
U_RG9ubmFZb3VuZ0RD,2020-01-22 12:48:20+00:00,"I had the news here yesterday: CDC reports 1st US case of Chinese virus; NIH working with Moderna on vaccine 
https://t.co/wI4exfOqPd $MRNA #NIH #nCoV2019 #coronavirus #CDC #WHO #pharma #biotech #China https://t.co/AArQCz8I5t",United States,District of Columbia,January 2020,False,-1_covid19_about_and_you,-1,U,6.0,67
U_QmV0dGVydzA1NzU5NzAz,2020-01-22 13:34:14+00:00,"RT @2020BlueTexas: The First Case Of The Chinese Coronavirus Has Hit The US, CDC Reports https://t.co/C9Drg98wY7",United States,Missouri,January 2020,False,53_mainland_incubation_china_confirmed,53,U,7.0,4
U_dG9td2xzbjMx,2020-01-22 15:39:30+00:00,"RT @CDCgov: Apply your skills as a health scientist at CDC, the nation’s premier #publichealth promotion, prevention, and preparedness agen…",United States,Colorado,January 2020,False,-1_covid19_about_and_you,-1,F,4.0,67
U_RGVsdGhpYVJpY2tz,2020-01-23 00:37:37+00:00,"Vaccine research already underway in China for #nCoV, announced earlier this week https://t.co/XtGKj4l7Vh",United States,New York,January 2020,False,116_chineselgz_china_pakistan_chinese,116,U,4.0,1
U_emVlc2hhbl9zaGFoX2Rj,2020-01-23 10:35:37+00:00,RT @onlyyoontv: #Macau tourism bureau announced all #LunarNewYear celebrations will be canceled as fears mount over #WuhanCoronavirus. $WYN…,United States,District of Columbia,January 2020,False,-1_covid19_about_and_you,-1,U,4.0,67
U_RG9ubmFZb3VuZ0RD,2020-01-23 12:38:12+00:00,"RT @onlyyoontv: Beijing joins Wuhan, Zhejiang, Macau in canceling #LunarNewYear celebrations. #China capital’s culture &amp; tourism bureau say…",United States,District of Columbia,January 2020,False,-1_covid19_about_and_you,-1,U,6.0,67
U_Q05CQw==,2020-01-23 15:48:02+00:00,RT @CNBCnow: BREAKING: U.S. issues travel warning for China amid coronavirus outbreak and raises travel advisory level from 'exercise incre…,United States,New Jersey,January 2020,False,158_travel_nonessential_advisory_travelers,158,U,4.0,3
U_bWFyY2lhc2dyZWVu,2020-01-23 17:53:47+00:00,RT @Forbes: Coronavirus: 3 Chinese cities are now on lockdown and Beijing canceled Lunar New Year events to prevent the virus from spreadin…,United States,New Mexico,January 2020,False,1076_celebrations_lockdownchina_beijing_foueen,1076,U,4.0,1
U_Q05CQw==,2020-01-23 17:56:42+00:00,"China has closed off Wuhan to contain the coronavirus, a deadly new virus that has affected hundreds of people in China, Thailand, Japan, and the U.S. https://t.co/cGxeaxkYwp https://t.co/bnjxH6wzNw",United States,New Jersey,January 2020,False,-1_covid19_about_and_you,-1,U,4.0,67
